Model Name,Window Size,Batch Size,Epochs,Units,LSTM Layers,MSE,MAE,R2
model_20241011-162134_ws60_bs64_epochs30_units16_layers1.keras,60,64,30,16,1,5.745197354513015,1.986859016403978,0.9983117406766632
model_20241011-162406_ws15_bs5_epochs30_units64_layers3.keras,15,5,30,64,3,3.1435119450838984,0.8640096310250629,0.9990289759350294
model_20241011-162512_ws1_bs1_epochs30_units32_layers2.keras,1,1,30,32,2,8.019028329544508,1.9502149151388701,0.9975654514420802
model_20241011-162518_ws5_bs64_epochs30_units64_layers1.keras,5,64,30,64,1,5.0249972882070635,1.2549381754972133,0.9984858842866106
model_20241011-162920_ws20_bs1_epochs30_units1_layers3.keras,20,1,30,1,3,155.39125000594322,8.423470775530113,0.953641445923842
model_20241011-163140_ws30_bs14_epochs30_units64_layers3.keras,30,14,30,64,3,3.8441898332140623,1.0165716171216619,0.9987897778624465
model_20241011-163153_ws30_bs128_epochs30_units64_layers1.keras,30,128,30,64,1,7.106201925967735,1.4253673143425956,0.9977628360570474
model_20241011-163200_ws15_bs256_epochs30_units6_layers3.keras,15,256,30,6,3,20.641956224793145,3.575696308968343,0.9936237442095007
model_20241011-163204_ws5_bs512_epochs30_units12_layers3.keras,5,512,30,12,3,10.965973388928454,2.134349372279778,0.9966957688395667
model_20241011-163212_ws30_bs512_epochs30_units5_layers3.keras,30,512,30,5,3,86.73943228027476,6.495627070639784,0.9726928206725312
model_20241011-163216_ws1_bs256_epochs30_units1_layers3.keras,1,256,30,1,3,763.5203411191555,18.65326841910457,0.7681979325892129
model_20241011-163223_ws30_bs256_epochs30_units32_layers1.keras,30,256,30,32,1,5.384604072732495,1.3192229467135683,0.9983048269379212
model_20241011-163226_ws2_bs64_epochs30_units16_layers1.keras,2,64,30,16,1,3.5115939667550125,1.1642903027574667,0.9989355163929179
model_20241011-163931_ws10_bs1_epochs30_units8_layers2.keras,10,1,30,8,2,5.9380329956054965,1.6107955772115523,0.9980421981843669
model_20241011-163933_ws2_bs64_epochs30_units6_layers1.keras,2,64,30,6,1,8.756428529403996,2.320432933534751,0.9973456285907822
model_20241011-163940_ws2_bs30_epochs30_units32_layers3.keras,2,30,30,32,3,5.180165816163343,1.3923703281726107,0.9984297154951635
model_20241011-163948_ws60_bs64_epochs30_units8_layers1.keras,60,64,30,8,1,4.5691981909860795,1.4610102798533342,0.9986573148022415
model_20241011-163957_ws5_bs30_epochs30_units1_layers2.keras,5,30,30,1,2,150.87129111664746,8.795697748589285,0.954539957043326
model_20241011-164001_ws2_bs64_epochs30_units128_layers1.keras,2,64,30,128,1,2.1880391451633536,0.718983822037282,0.9993367308909485
model_20241011-164206_ws5_bs256_epochs30_units32_layers2.keras,5,256,30,32,2,18.971227962938222,2.514972445993037,0.9942836517686507
model_20241011-164210_ws20_bs256_epochs30_units32_layers1.keras,20,256,30,32,1,4.36242242068608,1.1543853677905143,0.9986985393599402
model_20241011-164220_ws5_bs14_epochs30_units32_layers1.keras,5,14,30,32,1,2.328432842398252,0.8452926582236734,0.9992984042473971
model_20241011-164227_ws5_bs256_epochs30_units64_layers2.keras,5,256,30,64,2,3.605276895412279,0.9496756771259476,0.9989136697822157
model_20241011-164235_ws1_bs5_epochs30_units5_layers1.keras,1,5,30,5,1,8.234828671771329,2.3448031843664556,0.9974999352236088
model_20241011-165137_ws60_bs512_epochs30_units128_layers1.keras,60,512,30,128,1,3.958322468020229,0.9893579199608521,0.9988368241508433
model_20241011-165209_ws20_bs5_epochs30_units1_layers1.keras,20,5,30,1,1,123.37571509978802,9.009119268096175,0.9631927810612281
model_20241011-165219_ws10_bs30_epochs30_units2_layers2.keras,10,30,30,2,2,38.5575042369297,4.415756031152713,0.9872873808789534
model_20241011-165222_ws5_bs512_epochs30_units6_layers2.keras,5,512,30,6,2,23.03703801141895,3.398415663971732,0.9930585552105872
model_20241011-165237_ws20_bs64_epochs30_units32_layers3.keras,20,64,30,32,3,9.759360751124408,1.6468380508953384,0.99708844704504
model_20241011-165247_ws10_bs512_epochs30_units32_layers3.keras,10,512,30,32,3,9.441250641514895,1.8192132045226883,0.9968871682488992
model_20241011-165256_ws2_bs64_epochs30_units128_layers3.keras,2,64,30,128,3,2.6322372577685034,0.8608573849042385,0.9992020793299646
model_20241011-165515_ws2_bs1_epochs30_units12_layers3.keras,2,1,30,12,3,14.728913270187293,2.436214119841735,0.9955351652626467
model_20241011-165525_ws20_bs64_epochs30_units5_layers2.keras,20,64,30,5,2,9.421843508007655,2.075711434525726,0.9971891400465189
model_20241011-165530_ws2_bs64_epochs30_units64_layers2.keras,2,64,30,64,2,2.918928825987374,0.9184845844537833,0.9991151733614653
model_20241011-165535_ws2_bs64_epochs30_units6_layers2.keras,2,64,30,6,2,17.66593306589201,2.956956883612497,0.9946448546356775
model_20241011-165553_ws5_bs5_epochs30_units32_layers2.keras,5,5,30,32,2,4.957302973287444,1.2734202399249503,0.9985062817157132
model_20241011-165609_ws10_bs14_epochs30_units1_layers2.keras,10,14,30,1,2,110.05272650471376,7.050624396750726,0.963715016752896
model_20241011-165648_ws60_bs64_epochs30_units32_layers2.keras,60,64,30,32,2,7.086636783407662,1.5386247449799588,0.9979175509765054
model_20241011-165652_ws2_bs512_epochs30_units6_layers2.keras,2,512,30,6,2,32.13427390556543,4.657701197385274,0.990259008267528
model_20241011-165658_ws1_bs14_epochs30_units64_layers1.keras,1,14,30,64,1,1.5572466994309555,0.70717538887248,0.9995272254254973
model_20241011-165700_ws1_bs512_epochs30_units16_layers1.keras,1,512,30,16,1,15.049594944605792,3.1380441210724848,0.9954309963546732
model_20241011-165748_ws60_bs30_epochs30_units8_layers2.keras,60,30,30,8,2,11.502035727771162,1.9164269592356584,0.9966200605729394
model_20241011-170150_ws30_bs1_epochs30_units5_layers2.keras,30,1,30,5,2,8.208523958882484,1.792973394431384,0.9974158046707667
model_20241011-170330_ws10_bs5_epochs30_units32_layers3.keras,10,5,30,32,3,5.554517232825886,1.4890569758104033,0.9981686454198824
model_20241011-170450_ws15_bs5_epochs30_units1_layers2.keras,15,5,30,1,2,185.76877125615545,10.013234027017543,0.9426164269259869
model_20241011-170721_ws5_bs5_epochs30_units128_layers3.keras,5,5,30,128,3,5.90993868189221,1.9292558714864965,0.9982192366462722
model_20241011-170835_ws30_bs5_epochs30_units12_layers2.keras,30,5,30,12,2,7.834457039422405,1.9842607250480668,0.9975335678631423
